ReviewID,ServiceID,ReviewDate,ReviewedBy,ZeroCostStatus,ZeroCostNotes,MonetizationCandidateIdea,MonetizationReviewedBy,ApprovalStage,Notes
REV-SPARK-001,SRV-SPARK-001,2026-07-17,Dorris Fontaine,Verified,"MCP tool registry - no external paid API calls in src/mcp/",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome - see docs/governance/COST-AND-REVENUE-GOVERNANCE.md"
REV-GRID-001,SRV-GRID-001,2026-07-17,Dorris Fontaine,Verified,"Workflow executor - no external paid API calls in src/workflow/",Could expose workflow templates as a paid marketplace item via API Marketplace (Solarscene) - unreviewed idea,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-INF-001,SRV-INF-001,2026-07-17,Dorris Fontaine,Verified,"OAuth2/OIDC provider - self-hosted, no paid dependency found",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-VOID-001,SRV-VOID-001,2026-07-17,Dorris Fontaine,Flagged,"vault-service (currently deployed) hardcodes uvicorn port 8030 vs compose's 8038 mapping - unreachable regardless of cost; deprecated in favor of workers/the-void/ which is undeployed - no cost exposure found either way, but the service itself doesn't work",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Zero-cost verified but service is non-functional - see 02_service_inventory.csv notes"
REV-WORKSHOP-001,SRV-WORKSHOP-001,2026-07-17,Dorris Fontaine,Verified,"Forgejo self-hosted git/CI - no paid dependency",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-OBS-001,SRV-OBS-001,2026-07-17,Dorris Fontaine,Verified,"Self-hosted Prometheus/Loki/Grafana stack - no paid dependency",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-AI-001,SRV-AI-001,2026-07-17,Dorris Fontaine,Verified,"CLOSED this session: AIGatewayRouter now filters its provider list through is_approved() (vendored zero_cost_registry.py + config/zero_cost/providers.yaml) at construction time - together is excluded by code, not by the accident of no TOGETHER_API_KEY being set. Also found and fixed a real bug in is_approved()/approved_ids() themselves (approved_self_hosted dict-vs-string mismatch caused groq/litellm/gemini/github-models/deepseek to be wrongly reported unapproved, and approved_ids() to crash outright) - see COST-AND-REVENUE-GOVERNANCE.md section 2. router.py's /health route also fixed to report the real live provider list instead of a hardcoded static one that still listed together.",Could offer a metered/paid AI-inference tier once real usage data exists - unreviewed idea,The Porter Family,Closed - enforced in code and covered by regression tests,"Gap fully closed this session, including a deeper registry bug discovered while closing it"
REV-PORTAL-001,SRV-PORTAL-001,2026-07-17,Dorris Fontaine,Verified,"Calls only the internal Infinity Auth service - no external paid dependency",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-ONE-001,SRV-ONE-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/infinity-one-service/",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-ADMIN-001,SRV-ADMIN-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/infinity-admin-service/",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-SHARDS-001,SRV-SHARDS-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/infinity-shards-service/",Entity power-ups could be a paid upsell once the feature itself is built (currently STS-002/Building) - unreviewed idea,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-BRIDGE-001,SRV-BRIDGE-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/infinity-bridge-service/",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-USERS-001,SRV-USERS-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/users-service/",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
