ReviewID,ServiceID,ReviewDate,ReviewedBy,AuthMechanism,AuthMechanismNotes,DataClassification,DifferentiatesUserAIAgentBot,RecommendedAction,Notes
ACR-GATEWAY-001,SRV-GATEWAY-001,2026-07-18,The Guardian,RBAC/ABAC,"Uses Dimensional.infinity.rbac (RBACEngine) and abac (ABACEngine) via JWT-authenticated middleware - full tier-aware role differentiation",DC-003,TRUE,No action - reference implementation,"Undeployed (see 02_service_inventory.csv) but code-correct - the pattern the rest of the platform should copy"
ACR-ADMIN-001,SRV-ADMIN-001,2026-07-18,The Guardian,RBAC/ABAC,"Uses Dimensional.infinity.rbac + abac via AuthGatewayMiddleware/JWT",DC-003,TRUE,No action - reference implementation,"Deployed and working (fixed this session) - the pattern the rest of the platform should copy"
ACR-ONE-001,SRV-ONE-001,2026-07-18,The Guardian,RBAC/ABAC,"Uses Dimensional.infinity.rbac + abac via AuthGatewayMiddleware/JWT",DC-003,TRUE,No action - reference implementation,"Deployed and working (fixed this session) - the pattern the rest of the platform should copy"
ACR-PORTAL-001,SRV-PORTAL-001,2026-07-18,The Guardian,RBAC/ABAC,"Uses Dimensional.infinity.rbac + abac via AuthGatewayMiddleware/JWT",DC-003,TRUE,No action - reference implementation,"Deployed and working (fixed this session) - the pattern the rest of the platform should copy"
ACR-SENTINEL-001,SRV-SENTINEL-001,2026-07-18,The Guardian,RBAC/ABAC,"Uses Dimensional.infinity.rbac + abac via AuthGatewayMiddleware/JWT",DC-002,TRUE,No action - reference implementation,"Deployed and working (fixed this session) - the pattern the rest of the platform should copy"
ACR-APIGW-001,SRV-APIGW-001,2026-07-18,The Guardian,JWT-only,"Validates JWT_SECRET but does not use RBACEngine/ABACEngine - no role/tier differentiation beyond 'has a valid token or not'",DC-003,FALSE,Wire in RBACEngine,"Ironic given this is the platform's own API gateway - highest-leverage single place to add RBAC since all traffic already passes through it"
ACR-INF-001,SRV-INF-001,2026-07-18,The Guardian,JWT-only,"This IS the OAuth/OIDC provider itself (infinity-auth) - issues and validates tokens but doesn't itself call RBACEngine/ABACEngine (that's downstream services' job)",DC-003,FALSE,Not applicable - this is the token issuer,"Correct by design that the issuer doesn't self-check RBAC - downstream services (currently only 5 of them) are supposed to"
ACR-WS-001,SRV-WS-001,2026-07-18,The Guardian,JWT-only,"Validates JWT for WebSocket upgrade (HS256) but no RBACEngine/ABACEngine - all authenticated connections get equal channel access",DC-002,FALSE,Wire in RBACEngine,"AI/Agent/Bot traffic hub (The Nexus) - exactly where differentiating AI vs Agent vs Bot access matters most and currently doesn't happen"
ACR-ARTIFACTORY-001,SRV-ARTIFACTORY-001,2026-07-18,The Guardian,None detected,"No INTERNAL_SECRET, JWT, or RBAC/ABAC signal found in worker.py",DC-002,FALSE,Add INTERNAL_SECRET baseline,"Candidate for near-term baseline fix, not urgent (Internal not Confidential classification)"
ACR-BACKUP-001,SRV-BACKUP-001,2026-07-18,The Guardian,None detected (FIXED this session),"No auth mechanism of any kind found - Confidential-classified backup data with zero access control - HIGHEST PRIORITY finding of this review - fixed by adding an INTERNAL_SECRET middleware check matching the pattern already used in hive-service etc.",DC-003,FALSE,DONE (baseline) - RBAC/ABAC still recommended next,"Fixed this session - see ACCESS-CONTROL-GOVERNANCE.md section 2. RBAC/ABAC upgrade still open."
