ApplicationID,ApplicationName,Description,ApplicationType,Owner,Tier3AI,StatusCode,EnvironmentID,HostingModel,RuntimeVersion,FrameworkVersion,DeploymentID,RepositoryURL,DockerImage,DockerRegistry,CriticalityCode,SLA,MaxResponseTimeMs,DataClassification,ComplianceFrameworks,DependsOnServices,DependsOnApplications,ExternalDependencies,MonitoringEnabled,AlertingEnabled,AutoScalingEnabled,MinInstances,MaxInstances,HealthCheckPath,HealthCheckInterval,Notes
APP-SPARK-001,MCP Tool Registry API,FastAPI JSON-RPC 2.0 endpoint plus SSE bus,API,Norman Hawkins,Norman Hawkins,STS-004,ENV-005,HST-003,3.11,FastAPI 0.136.3,DEP-SPARK-001,trancendos.com/the-workshop/tranc3/src/mcp,tranc3-backend:latest,self-hosted registry,CRT-001,99.9%,3000,DC-002,ITIL;SOC2,SRV-VOID-001;SRV-INF-001,None,None,TRUE,TRUE,FALSE,1,2,/mcp/health,30,Routes /mcp/rpc /mcp/sse /mcp/tools /mcp/health
APP-GRID-001,Workflow Engine API,DAG builder plus topological executor,API,Tyler Towncroft,Tyler Towncroft,STS-004,ENV-005,HST-003,3.11,FastAPI 0.136.3,DEP-GRID-001,trancendos.com/the-workshop/tranc3/src/workflow,workflow-engine-service:latest,self-hosted registry,CRT-001,99.9%,5000,DC-002,ITIL;SOC2,SRV-VOID-001;SRV-INF-001,APP-INF-001,None,TRUE,TRUE,TRUE,1,3,/health,30,workers/workflow-engine-service port 8034
APP-INF-001,Infinity Identity Provider,OAuth2/OIDC login and token service,Web,The Guardian (Anchor: Orb of Orisis),The Guardian (Anchor: Orb of Orisis),STS-004,ENV-005,HST-003,3.11,FastAPI 0.136.3,DEP-INF-001,trancendos.com/the-workshop/tranc3/workers/infinity-auth,infinity-auth:latest,self-hosted registry,CRT-001,99.95%,1000,DC-003,ITIL;SOC2;GDPR,SRV-VOID-001,None,None,TRUE,TRUE,TRUE,2,4,/health,15,workers/infinity-auth port 8005
APP-VOID-001,Void Vault Service,AES-GCM secrets vault with Shamir unseal,API,Prometheus,Prometheus,STS-002,ENV-005,HST-003,3.11,FastAPI 0.136.3,DEP-VOID-001,trancendos.com/the-workshop/tranc3/workers/vault-service,vault-service:latest,self-hosted registry,CRT-001,99.95%,500,DC-004,ITIL;SOC2;GDPR,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"DEPRECATED (see workers/vault-service/DEPRECATED.md) but genuinely reachable at compose's mapped 8038:8038 - the Dockerfile's CMD invokes uvicorn directly on 8038, so the earlier 'unreachable port' claim here was wrong (it referred to dead __main__-block code the Dockerfile never executes) - fixed anyway for consistency this session, see 02_service_inventory.csv Notes"
APP-WORKSHOP-001,Forgejo,Self-hosted git hosting and CI/CD,Web,Larry Lowhammer,Larry Lowhammer,STS-004,ENV-005,HST-003,go 1.21,Forgejo 7,DEP-WORKSHOP-001,trancendos.com/the-workshop,codeberg.org/forgejo/forgejo:7,codeberg.org registry,CRT-001,99.9%,3000,DC-002,ITIL;SOC2,SRV-INF-001;SRV-VOID-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,1,/api/v1/version,60,deploy/forgejo/ port 3456
APP-OBS-001,Observatory Dashboard,Metrics tracing and audit log viewer,Web,Norman Hawkins,Norman Hawkins,STS-004,ENV-005,HST-003,3.11,FastAPI 0.136.3,DEP-OBS-001,trancendos.com/the-workshop/tranc3/workers/observatory,observatory:latest,self-hosted registry,CRT-001,99.9%,2000,DC-003,ITIL;SOC2;GDPR,SRV-INF-001,APP-INF-001,Prometheus;Loki,TRUE,TRUE,FALSE,1,2,/health,60,workers/observatory port 8065
APP-PORTAL-001,Infinity Portal Frontend,Public login portal + Infinity Gate auth handshake,Web,The Guardian (Anchor: Orb of Orisis),The Guardian (Anchor: Orb of Orisis),STS-004,ENV-005,HST-003,3.11,FastAPI 0.136.3,DEP-PORTAL-001,trancendos.com/the-workshop/tranc3/workers/infinity-portal-service,infinity-portal-service:latest,self-hosted registry,CRT-001,99.9%,3000,DC-003,ITIL;SOC2;GDPR,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/infinity-portal-service port 8042 - SLA/DataClassification are the P1-tier default pattern, not independently measured"
APP-ONE-001,Infinity-One Identity Resolver,Single identity layer across the ecosystem,Web,The Guardian (Anchor: Orb of Orisis),The Guardian (Anchor: Orb of Orisis),STS-004,ENV-005,HST-003,3.11,FastAPI 0.136.3,DEP-ONE-001,trancendos.com/the-workshop/tranc3/workers/infinity-one-service,infinity-one-service:latest,self-hosted registry,CRT-001,99.9%,3000,DC-003,ITIL;SOC2;GDPR,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/infinity-one-service port 8043 - SLA/DataClassification are the P1-tier default pattern, not independently measured"
APP-ADMIN-001,Infinity Admin OS,Entity and configuration management,Web,The Guardian (Anchor: Orb of Orisis),The Guardian (Anchor: Orb of Orisis),STS-004,ENV-005,HST-003,3.11,FastAPI 0.136.3,DEP-ADMIN-001,trancendos.com/the-workshop/tranc3/workers/infinity-admin-service,infinity-admin-service:latest,self-hosted registry,CRT-001,99.9%,3000,DC-003,ITIL;SOC2;GDPR,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/infinity-admin-service port 8044 - SLA/DataClassification are the P1-tier default pattern, not independently measured"
APP-SHARDS-001,Infinity Shards,Pluggable entity power-ups API,API,The Guardian (Anchor: Orb of Orisis),The Guardian (Anchor: Orb of Orisis),STS-004,ENV-005,HST-003,3.11,FastAPI 0.136.3,DEP-SHARDS-001,trancendos.com/the-workshop/tranc3/workers/infinity-shards-service,infinity-shards-service:latest,self-hosted registry,CRT-001,99.9%,3000,DC-003,ITIL;SOC2;GDPR,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/infinity-shards-service port 8045 - SLA/DataClassification are the P1-tier default pattern, not independently measured"
