ID,Tier,Type,Name,Location,Pillar,Description
AID-SOV-01,1,Sovereign,The Sovereign,,,Prime AI — ultimate orchestrator of the Tranc3 ecosystem
AID-COR-01,2,Prime,Cornelius MacIntyre,,,"Governs: The Nexus, The HIVE, Luminous, The Town Hall, The Studio, The Digital Grid (indirect), The Lab, Royal Bank of Arcadia, The Observatory, Infinity, The Citadel, Think Tank, Tranquility"
AID-DOR-01,2,Prime,Dorris Fontaine,,,"Governs: Arcadia, The Artifactory, API Marketplace, Arcadian Exchange, Warp Radio"
AID-GRD-01,2,Prime,The Guardian,,,"Governs: The Void, The Lighthouse, The Warp Tunnel, Cryptex, The Ice Box"
AID-DOC-01,2,Prime,The Doctor (Nikolai O'denhim),,,"Governs: The Digital Grid, The Workshop, The Chaos Party"
AID-VOX-01,2,Prime,Voxx,,,"Governs: Sashas Photo Studio, TranceFlow, TateKing, Fabulousa, Imaginarium"
AID-NOR-01,2,Prime,Norman Hawkins,,,"Governs: The Library, The Academy, DocUtari, The Basement, The Spark"
AID-SAV-01,2,Prime,Savania,,,"Governs: I-Mind, tAimra, VRAR3D, Resonate"
AID-TRN-01,2,Prime,Trancendos,,,"Governs: The Dutchy, Turing's Hub, ChronosSphere / ArcStream, DevOcity"
AID-NXS-01,3,Lead AI,Nexus-Prime,The Nexus,Architectural,"AI Communication Gateway & AI, Agent, and Bot / Worker Transfer Hub"
SID-NXS-01,4,Agent Alpha,Pathfinder,The Nexus,Architectural,Maps fast system data communication routes.
SID-NXS-02,4,Agent Beta,Omni-Router,The Nexus,Architectural,Routes user prompts to the correct AI/Bot.
NID-NXS-01,5,Bot 01,Ping-Bot,The Nexus,Architectural,Measures connection network latency.
NID-NXS-02,5,Bot 02,Ack-Bot,The Nexus,Architectural,Confirms data transitions and logs stamps.
NID-NXS-03,5,Bot 03,Syn-Bot,The Nexus,Architectural,Harmonizes offline caches with cloud data.
NID-NXS-04,5,Bot 04,Fin-Bot,The Nexus,Architectural,Closes data channels and flushes memory.
AID-HVE-01,3,Lead AI,The Queen,The HIVE,Architectural,Data Transport Hub
SID-HVE-01,4,Agent Alpha,Swarm-Leader,The HIVE,Architectural,Manages massive data streams and loads.
SID-HVE-02,4,Agent Beta,Hive-Mind,The HIVE,Architectural,Uses telemetry to optimize the routing matrix.
NID-HVE-01,5,Bot 01,Worker-Bee-Bot,The HIVE,Architectural,Carries small payload updates between nodes.
NID-HVE-02,5,Bot 02,Drone-7-Bot,The HIVE,Architectural,Sweeps transport lanes to prune stuck packets.
NID-HVE-03,5,Bot 03,Nectar-Fetch-Bot,The HIVE,Architectural,Pulls system-state configuration updates.
NID-HVE-04,5,Bot 04,Comb-Builder-Bot,The HIVE,Architectural,Creates dynamic memory blocks for spikes.
AID-ARC-01,3,Lead AI,Lilli SC,Arcadia,Commercial / Financial,"Post-Login User Frontend, Forum & Email Hub"
SID-ARC-01,4,Agent Alpha,Forum-Mod,Arcadia,Commercial / Financial,Scans threads to flag policy issues/announcements.
SID-ARC-02,4,Agent Beta,Campaign-Mgr,Arcadia,Commercial / Financial,Drafts automated system emails/notifications.
NID-ARC-01,5,Bot 01,Mail-Sorter-Bot,Arcadia,Commercial / Financial,Categorizes and dispatches inbound emails.
NID-ARC-02,5,Bot 02,Thread-Pumper-Bot,Arcadia,Commercial / Financial,Injects live forum updates into the UI.
NID-ARC-03,5,Bot 03,UI-Renderer-Bot,Arcadia,Commercial / Financial,Translates local templates into responsive UI.
NID-ARC-04,5,Bot 04,Cache-Fetch-Bot,Arcadia,Commercial / Financial,Grabs local media/templates to speed up loads.
AID-LUM-01,3,Lead AI,Cornelius MacIntyre,Luminous,Architectural,Core Platform Brain & Orchestration Engine
SID-LUM-01,4,Agent Alpha,Synapse,Luminous,Architectural,Monitors global activity; triggers alerts for offline nodes.
SID-LUM-02,4,Agent Beta,Cortex,Luminous,Architectural,Translates objectives into workflow blueprints.
NID-LUM-01,5,Bot 01,Neuron-1-Bot,Luminous,Architectural,Listens for emergency signals for immediate attention.
NID-LUM-02,5,Bot 02,Neuron-2-Bot,Luminous,Architectural,Holds transient conversational state metrics.
NID-LUM-03,5,Bot 03,Dendrite-Bot,Luminous,Architectural,Collects performance metrics from peripheral nodes.
NID-LUM-04,5,Bot 04,Axon-Bot,Luminous,Architectural,Transmits executive commands to Agents/Bots.
AID-TWH-01,3,Lead AI,Tristuran,The Town Hall,Architectural,Governance & Compliance Center
SID-TWH-01,4,Agent Alpha,The Auditor,The Town Hall,Architectural,Compares operations against ITIL/Agile frameworks.
SID-TWH-02,4,Agent Beta,The Bailiff,The Town Hall,Architectural,"Flags non-compliant accounts, placing holds."
NID-TWH-01,5,Bot 01,Gavel-Bot,The Town Hall,Architectural,Halts operations in sandboxes for security violations.
NID-TWH-02,5,Bot 02,Scroll-Bot,The Town Hall,Architectural,Writes unalterable logs of compliance actions.
NID-TWH-03,5,Bot 03,Red-Tape-Bot,The Town Hall,Architectural,Auto-generates compliance paperwork and checklists.
NID-TWH-04,5,Bot 04,Stamp-Bot,The Town Hall,Architectural,Signs certificates for approved system tools.
AID-STD-01,3,Lead AI,Voxx,The Studio,Creativity,Central Hub of the Creativity Center
SID-STD-01,4,Agent Alpha,The Conductor,The Studio,Creativity,Coordinates asset handoffs between 3D/Video/UI.
SID-STD-02,4,Agent Beta,The Muse,The Studio,Creativity,Generates baseline design schemes and mood boards.
NID-STD-01,5,Bot 01,Palette-Bot,The Studio,Creativity,Translates color variables into matching stylesheets.
NID-STD-02,5,Bot 02,Easel-Bot,The Studio,Creativity,Renders dynamic design drafts for live preview.
NID-STD-03,5,Bot 03,Clay-Bot,The Studio,Creativity,Speeds up simple vector and morphing operations.
NID-STD-04,5,Bot 04,Layout-Bot,The Studio,Creativity,"Plots design grids, focal alignments, and bounds."
AID-SPS-01,3,Lead AI,Madam Krystal,Sashas Photo Studio,Creativity,Photo & Image Generation Center
SID-SPS-01,4,Agent Alpha,The Retoucher,Sashas Photo Studio,Creativity,Directs neural filters to enhance/sharpen pictures.
